YTID,start_seconds
01w-Ub9dLEU,70.0
0pZJa-qmiUw,150.0
25R8tkWeHjA,29.0
2miNLk7GS2E,250.0
2ndhiZb-5Lk,0.0
3OuwVlCpT1g,30.0
4Dwr8wmf2ao,250.0
4LqqIwsSai4,30.0
4fiR3qashxE,0.0
4oI-r3zs8Cg,20.0
4vMiWSNp7bI,10.0
6FjyuoyiTec,10.0
6HRacLWJ5DI,30.0
6Sny_-shK20,100.0
79Ic4QeHpVE,3.0
8D_MElckQmA,50.0
8lIh0qRN7PE,220.0
9b4eODcsZVs,10.0
ASuWacDtZ6g,160.0
AxEas73-nWA,30.0
BToDpVXv1Ug,0.0
BYJUQFC5Z5M,30.0
Bbe-WFL1Ee0,10.0
BmznMmjIM5Q,130.0
C9OHV7P2GZE,30.0
D1LpWCgJCkM,30.0
DQyIyNWR0FM,130.0
Dapy8SlPZPQ,70.0
EqrJVz9XPwo,320.0
F8f8z7DJzeY,14.0
FGgAGfu6O1s,0.0
GGfhnsS9Pk0,100.0
H9-fwF0EOPo,3.0
H96a9TXYZ_E,20.0
I0tX4p95t_U,70.0
IPuYQcP2gXM,40.0
IXHBfOul1YY,420.0
InJNPgwJRZw,40.0
J4TzasMd6h4,0.0
JD4zmubkXjo,30.0
JH5i3C0OzyQ,30.0
JPJhcM-9Y_0,30.0
JWltSHhmxVI,90.0
KK6rqRjkA80,100.0
KUkcrqulhqg,50.0
KZ8Ne4Ex7Y0,30.0
KfFNvdd0eso,160.0
KjHxycRP1xk,70.0
LzVhSA-Ql78,30.0
Mt7glZHH4p0,0.0
Ng14eRax5vM,520.0
NkT0PF7pRRI,30.0
Oocvpoxi92k,30.0
OzHhLFFRCBc,0.0
QNeieugULqI,0.0
RfRzrtpwDqw,150.0
RozG9WRKxD4,60.0
T6Cd85_tmlM,70.0
ThoNoxGlpDo,310.0
U6AvT0wBwzU,0.0
UH23L7RMQ4c,60.0
UNmnrmwPRE4,310.0
UQKm4wsnMkg,10.0
Uyb6G1Z2vrE,50.0
VJ1hCIkrNZw,160.0
VKhB5-_jRJ4,40.0
Vrn6a3759jk,0.0
WzJADfjZjhU,290.0
X_fm0FyMDqA,240.0
YfFe-qYx7SU,0.0
YpNyvkH-tJo,0.0
Yu7FiBS9Qjg,50.0
ZAKKmmdq4yU,150.0
ZJ9xZZkoIxk,30.0
Zgbuj3y2iuY,210.0
_-QDrB0cwtU,290.0
_SWI0EclPic,30.0
_nMjINi0ZiE,60.0
_xW4hZQ95Ps,30.0
a1XtzK0RgGo,10.0
aMwWAwa_mqM,70.0
cJVE1962Ufo,16.0
cjgYOOPFats,20.0
coniJoHLdB4,30.0
dSU9tc7B4Vs,30.0
e7UjJ-zwx1c,0.0
eI7IkWkGEpY,16.0
eRuTtj7H0JI,40.0
ezyFfdIkCCQ,220.0
ffaRqnZADyA,60.0
grLGgTeY5-o,80.0
h3KSq3oMruA,0.0
jjJSVMREql8,25.0
kvXLA-ymwec,40.0
lARXsFN5mP4,260.0
lDD9qkRann4,150.0
lwrzVx1_gSk,340.0
n6KkztNsegQ,3.0
n92_YDZ3tzM,80.0
nAOtE60FQn8,30.0
niYH8Dpt4uE,140.0
o8MAKBCVwqU,30.0
oYqFa-TzEEk,30.0
owV-9NTIQFM,30.0
pP5HiINfW3Y,0.0
pQAQAYZqR4E,20.0
pWy_Nod4hGg,0.0
qUQD1mdcnNg,0.0
qnYR3YTgZ68,120.0
r6URKadZK1w,0.0
rae7_kchsho,4.0
s6QAq5nbyRg,13.0
s_SLQwB8PlI,7.0
t-wxZRUAVNc,110.0
t35KHSti3gI,150.0
tPEkFCdAhkE,440.0
u3U-8Aqyjb0,30.0
u75uavER3_Y,30.0
u77nEV52jgo,70.0
uAw-OrZRu7w,410.0
v5YPPBwHLAk,120.0
w3dUKrgpdiM,40.0
wSYzCTR8NTo,40.0
xe4kcDT187o,80.0
y1JH5Uux0is,300.0
yX1SAUR6aCQ,370.0
zBXL34HIFVU,0.0
zJ8SXAmMJ84,130.0
zPdfEmn96x8,90.0
zZPQr7CFY_8,130.0
